statisticalID,name,partOf,code,physicalType
MX12005,Alpoyeca,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX28003,Altamira,Location/MX28,ADMIN_STRUCTURE,Jurisdiction
MX07004,Altamirano,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX26004,Altar,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX21013,Altepexi,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX30009,Alto Lucero de Gutiérrez Barrios,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX30010,Altotonga,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX30011,Alvarado,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX09010,Álvaro Obregón,Location/MX09,ADMIN_STRUCTURE,Jurisdiction
MX16003,Álvaro Obregón,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX14004,Amacueca,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX17001,Amacuzac,Location/MX17,ADMIN_STRUCTURE,Jurisdiction
MX15007,Amanalco,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX07005,Amatán,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX07006,Amatenango de la Frontera,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX07007,Amatenango del Valle,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX15008,Amatepec,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX14005,Amatitán,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX30012,Amatitlán,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX18003,Amatlán de Cañas,Location/MX18,ADMIN_STRUCTURE,Jurisdiction
MX30014,Amatlán de los Reyes,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX29001,Amaxac de Guerrero,Location/MX29,ADMIN_STRUCTURE,Jurisdiction
MX22001,Amealco de Bonfil,Location/MX22,ADMIN_STRUCTURE,Jurisdiction
MX14006,Ameca,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX15009,Amecameca,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX21014,Amixtlán,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX21015,Amozoc,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX19005,Anáhuac,Location/MX19,ADMIN_STRUCTURE,Jurisdiction
MX16004,Angamacutiro,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX16005,Angangueo,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX07008,Angel Albino Corzo,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX30015,Angel R. Cabada,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX25002,Angostura,Location/MX25,ADMIN_STRUCTURE,Jurisdiction
MX20174,Ánimas Trujano,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX28004,Antiguo Morelos,Location/MX28,ADMIN_STRUCTURE,Jurisdiction
MX13008,Apan,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX11004,Apaseo el Alto,Location/MX11,ADMIN_STRUCTURE,Jurisdiction
MX11005,Apaseo el Grande,Location/MX11,ADMIN_STRUCTURE,Jurisdiction
MX16006,Apatzingán,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
